username,created_at,lng,lat,text, ,,
Leakri, Thu Apr 23 17:35:10 +0000 2020,-120.583402,44.145437, @DavidCornDC Fools ,,,
TonyPar36282257, Thu Apr 23 17:35:14 +0000 2020,-122.630908,45.536402, @tylerrjoseph https://t.co/ZZuWXh1r3A ,,,
allyct1200, Thu Apr 23 17:35:23 +0000 2020,-120.583402,44.145437, @KelseyPintzow I love them! Thank you 💖💖💖💖 ,,,
BMeece92, Thu Apr 23 17:35:25 +0000 2020,-122.274055,47.905972, Don’t remind them 😂😂 ,,,
worldschanging, Thu Apr 23 17:35:31 +0000 2020,-122.630908,45.536402, @IanStansfield14 @J4m3s1701 @MattKleinman @TrekMovie The opinions of RWNJs don't matter. I mean you retweet white n… https://t.co/2oFwkIrpc1 ,,,
GoViksSoccer, Thu Apr 23 17:35:32 +0000 2020,-122.300254,47.186954, 🧑‍🎓 🎉 Senior Recognition 🎉 🧑‍🎓Today we honor Aaron Core - the only player bold enough to wear a baseball hat duri… https://t.co/U15kvAHL4Z ,,,
nwmagnolia, Thu Apr 23 17:35:37 +0000 2020,-122.330602,47.614817, Sadness. ,,,
kidzombie666, Thu Apr 23 17:35:41 +0000 2020,-122.630908,45.536402, @_Arcturian_ Omg have fun!!! That’s a worthwhile quarantine adventure ,,,
BMeece92, Thu Apr 23 17:35:42 +0000 2020,-122.274055,47.905972, That weird IG challenge phase was WEIRD. Glad y’all off that shit 😂 ,,,
skambeezy, Thu Apr 23 17:35:46 +0000 2020,-122.630908,45.536402, I can’t recall ever wanting to NOT watch a show this badly. They really fucked us over on the ending of that first season. #PennyDreadful ,,,
lauren_nelander, Thu Apr 23 17:35:59 +0000 2020,-122.669236,47.561802, @litbitxh HAHAHAHAHHAHAA ,,,
MichaelmPrince, Thu Apr 23 17:35:59 +0000 2020,-122.430277,48.753353, @TMobile is blocking WiFi calling on phones they do not own @FCC @FTC @CIA As a disabled veteran with urgent medica… https://t.co/vYyjmDwli8 ,,,
kidzombie666, Thu Apr 23 17:36:00 +0000 2020,-122.630908,45.536402, @chRAWmatica Twitter is the gift that keeps on giving ,,,
BMeece92, Thu Apr 23 17:36:02 +0000 2020,-122.274055,47.905972, This new Devvon Terrell lowkey waaaaaaaaaaaaaaavy ,,,
SabonisHook, Thu Apr 23 17:36:06 +0000 2020,-122.630908,45.536402, @Mattjohn007 https://t.co/U0HVKMyGrS ,,,
Leakri, Thu Apr 23 17:36:13 +0000 2020,-120.583402,44.145437, @Acosta I think he answered yesterday😉 ,,,
thomsen_kirk, Thu Apr 23 17:36:18 +0000 2020,-122.035069,47.60812, @MarioAndretti @IMS Insane... ,,,
TonyPar36282257, Thu Apr 23 17:36:23 +0000 2020,-122.678779,45.514886, @SiriusXMHits1 @petewentz My co-workers need housing the elderly need housing veterans domestic violence survivors… https://t.co/iuTq4wL5qD ,,,
saysthegirl, Thu Apr 23 17:36:24 +0000 2020,-122.284264,47.176459, @SilencedHippie What color were you wanting? ,,,
tommytewtone, Thu Apr 23 17:36:27 +0000 2020,-122.164527,48.088757, @seanhannity Who’s the bigger beer chugger? ,,,
jennyhKOIN, Thu Apr 23 17:36:27 +0000 2020,-122.630908,45.536402, For my Writers’ Bloc this week, I took a stroll down memory lane— interviewing a set of Portland twins who co-autho… https://t.co/4ggeQZkCOO ,,
allyct1200, Thu Apr 23 17:36:31 +0000 2020,-120.583402,44.145437, @brooke_sumption I love this so much 💖💖💖 and I’m always game for videos! Hahaha I’m not copying any looks, so photo… https://t.co/IEg5slEHmT ,,
ScubaSteve_33, Thu Apr 23 17:36:32 +0000 2020,-117.282735,47.649746, @MrRager1376 Yes, conference rankings and where GU, BYU &amp; SMC were last year. All highly ranked in every category.… https://t.co/T8egJdqyCh ,
robbiecook28, Thu Apr 23 17:36:40 +0000 2020,-122.630908,45.536402, @313JMAC @RyShute4 Appreciate you bro.  I had everything on and changed clothes once I got home we walked my drs are 4 blocks away . ,,,
BOSLifeDavinci, Thu Apr 23 17:36:42 +0000 2020,-122.194398,47.481598, This is tru ,,,
whatupRuck, Thu Apr 23 17:36:43 +0000 2020,-122.280014,47.469552, @asherroth new album got me like https://t.co/sBAjURhkoK ,,,
Spudgroshong, Thu Apr 23 17:36:45 +0000 2020,-122.630908,45.536402, @taylersteven I’m sorry dude. I know how much you were looking forward to it. ,,,
jrfoldes, Thu Apr 23 17:36:45 +0000 2020,-123.370838,48.496225, @Jackson_porter Nothing against Ethan, but if I call Prokop I can have Ed Sheeran sing at your wedding. With Ethan… https://t.co/zhB7x6bDMk ,,
CptHavis, Thu Apr 23 17:36:51 +0000 2020,-122.166004,47.180856, Qdoba &gt;&gt;  chipotle ,,,
nickm2323, Thu Apr 23 17:36:59 +0000 2020,-122.149397,47.862766, Check out Conservative HH's video! #TikTok https://t.co/HOuylVZNgu ,,,
BrodieGrody, Thu Apr 23 17:37:01 +0000 2020,-122.630908,45.536402, @wennpa It actually sucks they hide my posts from the regular feed ,,,
Curiel_19, Thu Apr 23 17:37:03 +0000 2020,-120.252874,47.424134, quicksand is a real threat we face daily. ,,,
Mckeeluck, Thu Apr 23 17:37:03 +0000 2020,-122.231788,47.95995, Nailed it! ,,,
MichaelmPrince, Thu Apr 23 17:37:05 +0000 2020,-122.430277,48.753353, @AppleSupport I need assistance with WiFi calling 😁 ,,,
BroCadillac, Thu Apr 23 17:37:07 +0000 2020,-122.220763,47.469041, The HD rearview camera available on Cadillac.  The 1280x240 display improves situational awareness on what's in the… https://t.co/2wHcsom1ai ,,,
Neal53534590, Thu Apr 23 17:37:08 +0000 2020,-122.272453,47.056876, @Niklbag @HotlineJosh @benshapiro Duhnald Trumpov has no credibility left! When every other sentence is a lie then… https://t.co/Yn59wr5Kiq ,,,
Azuelo21, Thu Apr 23 17:37:09 +0000 2020,-122.334461,47.307568, @BaironValleP @CynthiaViteri6 @alcaldiagye Sería de preguntarle al aprendiz de socialista @BaironValleP que o con c… https://t.co/iKpfy8ASXH ,,,
writingcentersu, Thu Apr 23 17:37:09 +0000 2020,-122.284264,47.176459, 👏👏👏 ,,,
billyjarrettugh, Thu Apr 23 17:37:10 +0000 2020,-120.882482,47.273022, @TheMike31 Kino went all out on this, you love to see it. ,,
SabonisHook, Thu Apr 23 17:37:12 +0000 2020,-122.630908,45.536402, @Mattjohn007 I don’t even like apricots either. These are 🔥🔥🔥 ,,,
JaYSmooth___, Thu Apr 23 17:37:13 +0000 2020,-122.343179,47.755871, Never been so pumped for an NFL draft. Highlight of my week 🥺 ,,,
mr_balenciyagaa, Thu Apr 23 17:37:13 +0000 2020,-122.334461,47.307568, Unt unt lmaooo ,,,
tommytewtone, Thu Apr 23 17:37:15 +0000 2020,-122.164527,48.088757, @NewsHour Two years late ,,,
TatiGrebennique, Thu Apr 23 17:37:15 +0000 2020,-122.330602,47.614817, @tant_mielz Весь в хозяев! 😂 ,,,
MaamDott1, Thu Apr 23 17:37:20 +0000 2020,-122.630908,45.536402, @itscmonsta Emotionally ,,,
ChrisKr50672344, Thu Apr 23 17:37:20 +0000 2020,-122.702686,47.68374, Make more of these...Great!! ,,,
writingcentersu, Thu Apr 23 17:37:23 +0000 2020,-122.284264,47.176459, Let us know how your at-home learning is going! What methods do you use to keep yourself on top of your assignments… https://t.co/hYt2ihmwtS ,,,
BMeece92, Thu Apr 23 17:37:28 +0000 2020,-122.274055,47.905972, Everyone that laughed gotta get hit with the chopper ,,,
ChrissyARoberts, Thu Apr 23 17:37:29 +0000 2020,-119.989551,46.999175, Thank you Mother Earth we appreciate you🌎both peeps and doggies. #earthday #dogs #environment #hikes… https://t.co/qRXW6XDrws ,,,
Curiel_19, Thu Apr 23 17:37:35 +0000 2020,-120.252874,47.424134, beware of the Bermuda triangle. ,,,
Leakri, Thu Apr 23 17:37:35 +0000 2020,-120.583402,44.145437, @kylegriffin1 @jonkarl Imagine trying to work for lunatic ,,,
allyct1200, Thu Apr 23 17:37:36 +0000 2020,-120.583402,44.145437, @MuttsAndMascara So pretty!! And I don’t mean to hit on you but your eyes and lips are so pretty 😭😭😭 tbh your facia… https://t.co/k3dqja1dlW ,,,
LolaCoquette, Thu Apr 23 17:37:38 +0000 2020,-122.630908,45.536402, Juicy🍑Image: Miss Pryss🌈😇🦄 https://t.co/FIlEFf4DSu ,,,
SallyMoen2, Thu Apr 23 17:37:40 +0000 2020,-122.231788,47.95995, @observerug Not only is oil dirty when it’s burned in vehicles, it’s dirty when it comes out of the ground. Even th… https://t.co/vOQnD03Gb7 ,,
whatupRuck, Thu Apr 23 17:37:42 +0000 2020,-122.280014,47.469552, @asherroth been waiting on this! thank you ,,,
richboudet, Thu Apr 23 17:37:50 +0000 2020,-122.307427,47.792534, Checks map* / sadly my car windows wind buffet above 90. Allegedly. ,,,
KirasAndRheasMo, Thu Apr 23 17:37:53 +0000 2020,-122.20511,47.47515, The fact that I'm working to pay for his food and extracurricular activities pales in the reality that it's been 10… https://t.co/3xHZ7oItAi ,,,
centristSpokane, Thu Apr 23 17:37:53 +0000 2020,-117.434547,47.667438, @ModerateWill @redskin_potato Trading on non public info is a crime either way. This is the silly rationale you hea… https://t.co/WUqj1zaQqJ ,,,
MaamDott1, Thu Apr 23 17:37:54 +0000 2020,-122.630908,45.536402, @Latoya331 I can Almost agree to a point. ,,,
tmj_WAK_sales, Thu Apr 23 17:37:55 +0000 2020,-117.40812,47.717501, Looking to score a job at Lowe's? You're in luck. Click the link in our bio for the job description and information… https://t.co/Q5vGemJ42i ,,,
ascales0, Thu Apr 23 17:38:00 +0000 2020,-119.17594,46.199292, @BMJ509 @SpreadShow Lmaooooo ,,,
pdxpolicelog, Thu Apr 23 17:38:02 +0000 2020,-122.60493,45.531268, UNWANTED PERSON at 1100 NE 57TH AVE, PORT [Portland Police #PP20000132053] 10:31 #pdx911 ,,
